config_id,val_acc,inference_time
1,0.016666667,1.049770832
2,0.016666667,1.05382514
3,0.016666667,1.055391788
4,0.016666667,1.04813695
5,0.016666667,1.050405025
6,0.016666667,1.053832054
7,0.016666667,1.060357094
8,0.016666667,1.048336506
9,0.016666667,1.056030035
10,0.016666667,1.054186583
11,0.016666667,1.049815655
12,0.016666667,1.053429127
13,0.016666667,1.050844669
14,0.016666667,1.053577185
15,0.016666667,1.054249287
16,0.016666667,1.05652833
17,0.016666667,1.051470041
18,0.016666667,1.053183317
19,0.016666667,1.044709682
20,0.016666667,1.051701307
21,0.016666667,1.057617426
22,0.016666667,1.056983471
23,0.016666667,1.051557779
24,0.016666667,1.051306486
25,0.016666667,1.046734333
26,0.016666667,1.054220676
27,0.016666667,1.050408125
28,0.016666667,1.054912567
29,0.016666667,1.048010588
30,0.016666667,1.052275181
31,0.016666667,1.052949667
32,0.016666667,1.05015564
33,0.016666667,1.245433569
34,0.016666667,1.244719505
35,0.016666667,1.247097015
36,0.016666667,1.244529486
37,0.016666667,1.251244068
38,0.016666667,1.242435694
39,0.016666667,1.247690201
40,0.016666667,1.242411613
41,0.016666667,1.240430593
42,0.016666667,1.246655464
43,0.016666667,1.253966093
44,0.016666667,1.250807762
45,0.016666667,1.245788574
46,0.016666667,1.242124319
47,0.016666667,1.249239683
48,0.016666667,1.253087044
49,0.016666667,1.25047183
50,0.016666667,1.251984119
51,0.016666667,1.24361062
52,0.016666667,1.249352217
53,0.016666667,1.252352476
54,0.016666667,1.2480371
55,0.016666667,1.243200064
56,0.016666667,1.249563456
57,0.016666667,1.248449326
58,0.016666667,1.246137857
59,0.016666667,1.247193575
60,0.016666667,1.242791414
61,0.016666667,1.250108004
62,0.016666667,1.243768215
63,0.016666667,1.24583745
64,0.016666667,1.24319911
65,0.016666667,3.443965197
66,0.016666667,3.430563927
67,0.016666667,3.441972017
68,0.016666667,3.432756901
69,0.016666667,3.432999134
70,0.016666667,3.428721666
71,0.016666667,3.419775009
72,0.016666667,3.444748402
73,0.016666667,3.437098503
74,0.016666667,3.43645215
75,0.016666667,3.431234121
76,0.016666667,3.446735859
77,0.016666667,3.437982082
78,0.016666667,3.424352884
79,0.016666667,3.436358929
80,0.016666667,3.434588194
81,0.016666667,3.437250614
82,0.016666667,3.437603235
83,0.016666667,3.449839592
84,0.016666667,3.447239637
85,0.016666667,3.445288658
86,0.016666667,3.447862148
87,0.016666667,3.436305761
88,0.016666667,3.433651924
89,0.016666667,3.442331076
90,0.016666667,3.435937405
91,0.016666667,3.432012081
92,0.016666667,3.429983377
93,0.016666667,3.447927475
94,0.016666667,3.433806896
95,0.016666667,3.441396713
96,0.016666667,3.445579767
97,0.01,4.592900753
98,0.01,4.579850435
99,0.01,4.604897976
100,0.01,4.5926826
101,0.01,4.604408264
102,0.01,4.605036736
103,0.01,4.589348793
104,0.01,4.611857891
